"filename", "language", "HTML", "JavaScript", "JSON with Comments", "Java", "CSS", "Python", "comment", "blank", "total"
"/Users/andrew/APART/158.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/159.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/16.html", "HTML", 51, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/andrew/APART/160.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/161.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/162.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/163.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/164.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/165.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/166.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/167.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/168.html", "HTML", 45, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/andrew/APART/169.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/17.html", "HTML", 63, 0, 0, 0, 0, 0, 0, 8, 71
"/Users/andrew/APART/170.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/171.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/172.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/173.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/174.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/175.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/176.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/177.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/178.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/179.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/18.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/andrew/APART/180.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/181.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/andrew/APART/182.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 8, 57
